名称,PLC地址,数剧类型,功能
输送线看门狗心跳,DB1000.DBW0,WORD ,高电平1秒持续，低电平1秒持续，一直循环
输送线当前运行状态,DB1000.DBW2,WORD ,01自动运行，02手动模式、03故障模式。。。。。
区域报警,DB1000.DBW4,WORD ,"BIT 0：上货区域报警
BIT 1：灭菌前区域报警
BIT 2：灭菌后区域报警
BIT 3：备用
BIT 4：备用
BIT 5：备用
BIT 6：备用
BIT 7：备用                                                                                                                                                                            BIT 8: 备用                                                                                                                                                                           
BIT 9：备用                                                                                                                                                                                                                                                                                                                                                               BIT 10：备用                                                                                                                                                                           
BIT 11：备用                                                                                                                                                                           
BIT 12：备用                                                                                                                                                                           
BIT 13：备用                                                                                                                                                                            
BIT 14：备用                                                                                                                                                                           
BIT 15：备用                                                                                                                                                                           
BIT 15：备用                                                                                                                                                                           
                                                                               "
区域急停,DB1000.DBW6,WORD ,"BIT 0：一楼控制柜急停
BIT 1: 上货口操作台急停
BIT 2: 灭菌前分站急停
BIT 3: 灭菌前小车1急停
BIT 4: 灭菌前小车2急停
BIT 5: 灭菌后小车急停
BIT 6: 备用
BIT 7: 备用
BIT 8: 备用
BIT 9: 备用
BIT 10: 备用
BIT 11: 备用
BIT 12: 备用
BIT 13: 备用
BIT 14: 备用
BIT 15: 备用                                                                            "
电机运行信号--1,DB1000.DBW8,WORD ,"BIT 0：1001电机运行（上货口输送电机）
BIT 1: 1002电机运行（上货口过渡电机）
BIT 2: 1003电机运行（上货口升降电机）
BIT 3: 1008电机正转运行（灭菌柜进货）
BIT 4: 1008电机反转运行（灭菌柜出货）
BIT 5: 1009电机正转运行（灭菌柜进货）
BIT 6: 1009电机反转运行（灭菌柜出货）
BIT 7: 1010电机正转运行（灭菌柜进货）
BIT 8: 1010电机反转运行（灭菌柜出货）
BIT 9: 1011电机正转运行（灭菌柜进货）
BIT 10: 1011电机反转运行（灭菌柜出货）
BIT 11: 1012电机正转运行（灭菌柜进货）
BIT 12: 1012电机反转运行（灭菌柜出货）
BIT 13: 1013电机正转运行（灭菌柜进货）
BIT 14: 1013电机反转运行（灭菌柜出货）
BIT 15: 1014电机运行                                                                           "
电机运行信号--2,DB1000.DBW10,WORD ,"BIT 0：1015电机运行
BIT 1: 备用
BIT 2: 备用
BIT 3: 备用
BIT 4: 备用
BIT 5: 备用
BIT 6: 备用
BIT 7: 备用
BIT 8: 备用
BIT 9: 备用
BIT 10: 备用
BIT 11: 备用
BIT 12: 备用
BIT 13: 备用
BIT 14: 备用
BIT 15: 备用                                                           "
传感器信号,DB1000.DBW12,WORD ,"BIT 0：光电1001
BIT 1: 光电1008-1
BIT 2: 光电1008-2
BIT 3: 光电1010-1
BIT 4: 光电1010-2
BIT 5: 光电1012-1
BIT 6: 光电1012-2
BIT 7: 光电1014
BIT 8: 光电1015
BIT 9: 备用
BIT 10: 备用
BIT 11: 备用
BIT 12: 备用
BIT 13: 备用
BIT 14: 备用
BIT 15: 备用                                                                      "
灭菌前小车1位置信息,DB1000.DBW14,INT,位置信息：0-3000 （不确定调试时给）                                                  
灭菌前小车2位置信息,DB1000.DBW16,INT,位置信息：0-3000 （不确定调试时给）                                                  
灭菌后小车位置信息,DB1000.DBW18,INT,位置信息：0-3000 （不确定调试时给）（二期装完以后灭菌后小车行走距离会延长，位置信息在6000以内）                                                  
灭菌前小车3位置信息（二期小车地暂时备用）,DB1000.DBW20,INT,位置信息：0-3000 （不确定调试时给）                                                  
上货请求托盘指定ID和目的地,DB1000.DBW22,WORD ,"BIT 0：1001（上货口）处请求写ID和目的地
BIT 1: 
BIT 2: 备用
BIT 3: 备用
BIT 4: 备用
BIT 5: 备用
BIT 6: 备用
BIT 7: 备用
BIT 8: 备用
BIT 9: 备用 
BIT 10: 备用
BIT 11: 备用
BIT 12: 备用
BIT 13: 备用
BIT 14: 备用
BIT 15: 备用                                                                         "
灭菌出货请求托盘指定ID和目的地,DB1000.DBW24,WORD ,"BIT 0：19号（灭菌柜出货）处请求写ID和目的地
BIT 1: 20号（灭菌柜出货）处请求写ID和目的地
BIT 2: 21号（灭菌柜出货）处请求写ID和目的地
BIT 3: 22号（灭菌柜出货）处请求写ID和目的地
BIT 4: 23号（灭菌柜出货）处请求写ID和目的地 
BIT 5: 24号（灭菌柜出货）处请求写ID和目的地  
BIT 6: 25(备用)
BIT 7: 26(备用)  
BIT 8: 27(备用) 
BIT 9: 28(备用)  
BIT 10:29(备用) 
BIT 11:30(备用)  
BIT 12: 31号（灭菌柜出货）处请求写ID和目的地  
BIT 13: 32号（灭菌柜出货）处请求写ID和目的地
BIT 14: 33号（灭菌柜出货）处请求写ID和目的地  
BIT 15: M1015电机处请求写ID和目的地                                                       "
电机占位虚拟ID,DB1000.DBW26-DBW46,INT,"DBW26: 1001电机
DBW28: 1004电机
DBW30: 1006A电机
DBW32: 1006B电机
DBW34: 1008电机
DBW36: 1010电机
DBW38: 1012电机
DBW40: 1014电机
DBW42: 1016电机
DBW44: 备用
DBW46: 备用                                                                "
电机货物目的地,DB1000.DBW48-DBW68,INT,"DBW48: 1001电机
DBW50: 1004电机
DBW52: 1006A电机
DBW54: 1006B电机
DBW56: 1008电机
DBW58: 1010电机
DBW60: 1012电机
DBW62: 1014电机
DBW64: 1016电机
DBW66: 备用
DBW68: 1015内实际数量                                                                  "
灭菌柜内未完成实际数量,DB1000.DBW70-DBW92,INT,"DBW70: 灭菌柜19内实际数量--未完成
DBW72: 灭菌柜20内实际数量--未完成
DBW74: 灭菌柜21内实际数量--未完成
DBW76: 灭菌柜22内实际数量--未完成
DBW78: 灭菌柜23内实际数量--未完成
DBW80: 灭菌柜24内实际数量--未完成
DBW82: 灭菌柜25内实际数量--未完成
DBW84: 灭菌柜26内实际数量--未完成
DBW86: 灭菌柜27内实际数量--未完成
DBW88: 灭菌柜28内实际数量--未完成
DBW90: 灭菌柜29内实际数量--未完成
DBW92: 灭菌柜30内实际数量--未完成

"
灭菌柜内完成实际数量,DB1000.DBW94-DBW122,INT,"DBW94: 灭菌柜19内实际数量--完成
DBW96: 灭菌柜20内实际数量--完成
DBW98: 灭菌柜21内实际数量--完成
DBW100: 灭菌柜22内实际数量--完成
DBW102: 灭菌柜23内实际数量--完成
DBW104: 灭菌柜24内实际数量--完成
DBW106: 灭菌柜25内实际数量--完成
DBW108: 灭菌柜26内实际数量--完成
DBW110: 灭菌柜27内实际数量--完成
DBW112: 灭菌柜28内实际数量--完成
DBW114: 灭菌柜29内实际数量--完成
DBW116: 灭菌柜30内实际数量--完成
DBW118: 灭菌柜31内实际数量--完成
DBW120: 灭菌柜32内实际数量--完成
DBW122: 灭菌柜33内实际数量--完成"
